unit1_txt	unit2_txt	dir	rel_type	orig_label	label
Importantly , studying eye movements offers an insight	that does not depend on the participants ’ beliefs , memories or subjective impressions of the artwork .	1<2	implicit	elaboration-attribute	elaboration
Previous eye tracking research has highlighted the potential	In this study we used eye - tracking in the first stage	1>2	implicit	context-background	frame
Previous eye tracking research has highlighted the potential	to transform the ways	1<2	implicit	purpose-attribute	purpose
to transform the ways	we understand visual processing in the arts	1<2	implicit	elaboration-attribute	elaboration
Previous eye tracking research has highlighted the potential	( see for example Brieber 2014 ; Binderman et al. , 2005 )	1<2	explicit	explanation-evidence	explanation
Previous eye tracking research has highlighted the potential	and at the same time offers a direct way	1<2	explicit	joint-list	conjunction
and at the same time offers a direct way	of studying several important factors of a museum visit	1<2	implicit	elaboration-attribute	elaboration
and at the same time offers a direct way	( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) .	1<2	implicit	explanation-evidence	explanation
Zurbarán ’s cycle of Jacob and his Sons has been on display in the Long Room at Auckland Castle for over 250 years .	In this study we used eye - tracking in the first stage	1>2	implicit	context-background	frame
Zurbarán ’s cycle of Jacob and his Sons has been on display in the Long Room at Auckland Castle for over 250 years .	It is the only cycle <*> and one of very few of its kind in the world .	1<2	implicit	elaboration-additional	elaboration
It is the only cycle <*> and one of very few of its kind in the world .	to be preserved in purpose - built surroundings in the UK ,	1<2	implicit	elaboration-attribute	elaboration
It has a long history in scholarship	but many key aspects of its production and significance have not yet been fully understood .	1>2	explicit	adversative-concession	concession
It has a long history in scholarship	( Baron & Beresford 2014 ) ,	1<2	implicit	explanation-evidence	explanation
Zurbarán ’s cycle of Jacob and his Sons has been on display in the Long Room at Auckland Castle for over 250 years .	but many key aspects of its production and significance have not yet been fully understood .	1<2	implicit	joint-list	conjunction
In this study we used eye - tracking in the first stage	of exploring audience experience of the extensive Spanish art collections of County Durham ,	1<2	implicit	elaboration-attribute	elaboration
of exploring audience experience of the extensive Spanish art collections of County Durham ,	of which the 13 Zurbarán artworks <*> are a key part of ,	1<2	implicit	elaboration-attribute	elaboration
of which the 13 Zurbarán artworks <*> are a key part of ,	( there are actually only 12 Zurbarán artworks ,	1<2	explicit	adversative-concession	concession
( there are actually only 12 Zurbarán artworks ,	the 13th Benjamin , is a copy by Arthur Pond )	1<2	implicit	explanation-evidence	explanation
In this study we used eye - tracking in the first stage	to investigate the ways	1<2	implicit	purpose-goal	purpose
to investigate the ways	in which audiences look at Spanish art ,	1<2	implicit	elaboration-attribute	elaboration
in which audiences look at Spanish art ,	how aesthetic experience is evaluated	1<2	implicit	joint-list	conjunction
in which audiences look at Spanish art ,	and whether audiences can be encouraged to approach art in different ways .	1<2	explicit	joint-list	conjunction
In this study we used eye - tracking in the first stage	This pilot project primarily investigated how participants visually explore artworks	1<2	implicit	elaboration-additional	elaboration
This pilot project primarily investigated how participants visually explore artworks	and provides new insights into the potential	1<2	explicit	joint-sequence	temporal
and provides new insights into the potential	eye - tracking has	1<2	implicit	elaboration-attribute	elaboration
and provides new insights into the potential	to transform the ways	1<2	implicit	purpose-attribute	purpose
to transform the ways	we understand visual processing in arts and culture	1<2	implicit	elaboration-attribute	elaboration
to transform the ways	and at the same time offer a direct way	1<2	explicit	joint-list	conjunction
and at the same time offer a direct way	of studying several important factors of a museum visit ,	1<2	implicit	elaboration-attribute	elaboration
and at the same time offer a direct way	namely to assess the effects of label characteristics on visitor visual behaviour .	1<2	explicit	elaboration-additional	elaboration
1 Introduction	Here , we present a novel system ,	1>2	implicit	organization-heading	organization
Tenured and tenure - track university faculty play a special role	that each of these efforts is strongly and positively influenced through various forms of faculty diversity ,	1>2	implicit	context-background	frame
Tenured and tenure - track university faculty play a special role	in determining the speed and direction of scientific progress , both directly through their research and indirectly through their training of new researchers .	1<2	implicit	elaboration-additional	elaboration
Past studies establish	that each of these efforts is strongly and positively influenced through various forms of faculty diversity ,	1>2	implicit	attribution-positive	attribution
that each of these efforts is strongly and positively influenced through various forms of faculty diversity ,	Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step	1>2	implicit	context-background	frame
that each of these efforts is strongly and positively influenced through various forms of faculty diversity ,	including ethnic , racial , and gender diversity .	1<2	implicit	elaboration-additional	elaboration
As an example , research shows	that greater diversity within a community or group can lead to improved critical thinking <*> and more creative solutions to complex tasks	1>2	implicit	attribution-positive	attribution
that each of these efforts is strongly and positively influenced through various forms of faculty diversity ,	that greater diversity within a community or group can lead to improved critical thinking <*> and more creative solutions to complex tasks	1<2	explicit	explanation-evidence	explanation
that greater diversity within a community or group can lead to improved critical thinking <*> and more creative solutions to complex tasks	[ 1 ]	1<2	implicit	explanation-evidence	explanation
that greater diversity within a community or group can lead to improved critical thinking <*> and more creative solutions to complex tasks	[ 2 , 3 ]	1<2	implicit	explanation-evidence	explanation
that greater diversity within a community or group can lead to improved critical thinking <*> and more creative solutions to complex tasks	by pairing together individuals with unique skillsets and perspectives	1<2	explicit	mode-means	mode
by pairing together individuals with unique skillsets and perspectives	that complement and often augment the abilities of their peers .	1<2	implicit	elaboration-attribute	elaboration
that greater diversity within a community or group can lead to improved critical thinking <*> and more creative solutions to complex tasks	Additionally , diversity has been shown to produce more supportive social climates and effective learning environments	1<2	explicit	joint-list	conjunction
Additionally , diversity has been shown to produce more supportive social climates and effective learning environments	[ 4 ] ,	1<2	implicit	explanation-evidence	explanation
Additionally , diversity has been shown to produce more supportive social climates and effective learning environments	which can facilitate the mentoring of young scientists .	1<2	implicit	elaboration-attribute	elaboration
Despite these positive effects , however ,	quantifying the impact of diversity in science remains exceedingly difficult , due in large part to a lack of comprehensive data about the scientific workforce .	1>2	explicit	adversative-concession	concession
that each of these efforts is strongly and positively influenced through various forms of faculty diversity ,	quantifying the impact of diversity in science remains exceedingly difficult , due in large part to a lack of comprehensive data about the scientific workforce .	1<2	implicit	adversative-concession	concession
Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step	Here , we present a novel system ,	1>2	implicit	context-background	frame
Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step	toward understanding how scholarly research is conducted and how it might be enhanced .	1<2	explicit	purpose-attribute	purpose
Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step	For many scientific fields , however , there is no central listing of all tenure - track faculty ,	1<2	explicit	adversative-antithesis	contrast
For many scientific fields , however , there is no central listing of all tenure - track faculty ,	making it difficult to define a rigorous sample frame for analysis .	1<2	implicit	causal-result	causal
For many scientific fields , however , there is no central listing of all tenure - track faculty ,	Further , rates of adoption of services like GoogleScholar and ResearchGate vary within , and across disciplines .	1<2	explicit	joint-list	conjunction
Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step	For instance , gender representation in computing is an important issue with broad implications	1<2	implicit	explanation-justify	explanation
For instance , gender representation in computing is an important issue with broad implications	[ 5 ] ,	1<2	implicit	explanation-evidence	explanation
For instance , gender representation in computing is an important issue with broad implications	but <*> the degree of inequality and its possible sources are difficult to establish	1<2	explicit	adversative-contrast	contrast
but <*> the degree of inequality and its possible sources are difficult to establish	without a full census of computing faculty ,	1<2	explicit	context-circumstance	temporal
but <*> the degree of inequality and its possible sources are difficult to establish	[ 6 ] .	1<2	implicit	explanation-evidence	explanation
Some disciplines , like political science , are organized around a single professional society ,	past studies have tended to avoid this task <*> usually specific to a particular field	1>2	implicit	context-background	frame
Some disciplines , like political science , are organized around a single professional society ,	whose membership roll approximates a full census	1<2	implicit	elaboration-attribute	elaboration
Some disciplines , like political science , are organized around a single professional society ,	[ 7 ] .	1<2	implicit	explanation-evidence	explanation
Some disciplines , like political science , are organized around a single professional society ,	Most fields , on the other hand , <*> lack a single all - encompassing organization	1<2	explicit	adversative-contrast	contrast
Most fields , on the other hand , <*> lack a single all - encompassing organization	and membership information is instead distributed across many disjoint lists , such as web - based faculty directories for individual departments .	1>2	explicit	adversative-antithesis	contrast
Most fields , on the other hand , <*> lack a single all - encompassing organization	including computer science ,	1<2	implicit	elaboration-additional	elaboration
Because assembling such a full census is difficult ,	past studies have tended to avoid this task <*> usually specific to a particular field	1>2	explicit	causal-cause	causal
For instance , gender representation in computing is an important issue with broad implications	past studies have tended to avoid this task <*> usually specific to a particular field	1<2	implicit	context-background	frame
past studies have tended to avoid this task <*> usually specific to a particular field	and have instead used samples of researchers	1>2	explicit	adversative-antithesis	contrast
past studies have tended to avoid this task <*> usually specific to a particular field	[ 8 – 11 ] ,	1<2	implicit	explanation-evidence	explanation
past studies have tended to avoid this task <*> usually specific to a particular field	[ 12 – 16 ] ,	1<2	implicit	explanation-evidence	explanation
past studies have tended to avoid this task <*> usually specific to a particular field	and often focused on the scientific elite	1<2	explicit	joint-list	conjunction
and often focused on the scientific elite	[ 17 , 18 ] .	1<2	implicit	explanation-evidence	explanation
Although useful ,	such samples are not representative of the scientific workforce as a whole	1>2	explicit	adversative-concession	concession
past studies have tended to avoid this task <*> usually specific to a particular field	such samples are not representative of the scientific workforce as a whole	1<2	implicit	evaluation-comment	comment
such samples are not representative of the scientific workforce as a whole	and thus have limited generalizability .	1<2	explicit	causal-result	causal
past studies have tended to avoid this task <*> usually specific to a particular field	One of the largest census efforts to date assembled , by hand , a nearly complete record of three academic fields :	1<2	implicit	adversative-contrast	contrast
One of the largest census efforts to date assembled , by hand , a nearly complete record of three academic fields :	computer science , history , and business	1<2	implicit	elaboration-additional	elaboration
One of the largest census efforts to date assembled , by hand , a nearly complete record of three academic fields :	[ 19 ] .	1<2	implicit	explanation-evidence	explanation
One of the largest census efforts to date assembled , by hand , a nearly complete record of three academic fields :	This data set has shed considerable light on dramatic inequalities in faculty training , placement , and scholarly productivity	1<2	implicit	evaluation-comment	comment
This data set has shed considerable light on dramatic inequalities in faculty training , placement , and scholarly productivity	[ 6 , 19 , 20 ] .	1<2	implicit	explanation-evidence	explanation
This data set has shed considerable light on dramatic inequalities in faculty training , placement , and scholarly productivity	But , this data set is only a single snapshot of an evolving and expanding system	1<2	explicit	adversative-contrast	contrast
But , this data set is only a single snapshot of an evolving and expanding system	and hence offers few insights into the changing composition and diversity trends within these academic fields .	1<2	explicit	causal-result	causal
past studies have tended to avoid this task <*> usually specific to a particular field	In some fields , yearly data on faculty numbers and composition are available in aggregate .	1<2	implicit	joint-other	conjunction
In some fields , yearly data on faculty numbers and composition are available in aggregate .	In computer science , the Computing Research Association <*> documents trends in the employment of PhD recipients through the annual Taulbee survey of computing departments in North America	1<2	implicit	elaboration-additional	elaboration
In computer science , the Computing Research Association <*> documents trends in the employment of PhD recipients through the annual Taulbee survey of computing departments in North America	( CRA )	1<2	implicit	restatement-partial	reformulation
In computer science , the Computing Research Association <*> documents trends in the employment of PhD recipients through the annual Taulbee survey of computing departments in North America	( cra.org/resources/taulbee-survey ) .	1<2	implicit	elaboration-additional	elaboration
Such surveys can provide valuable insight into trends and summary statistics on the scientific workforce	First , surveys are subject to variable response rates and the misinterpretation of questions or sample frames ,	1>2	implicit	organization-preparation	organization
Such surveys can provide valuable insight into trends and summary statistics on the scientific workforce	but suffer from two key weaknesses .	1<2	explicit	adversative-contrast	contrast
In some fields , yearly data on faculty numbers and composition are available in aggregate .	First , surveys are subject to variable response rates and the misinterpretation of questions or sample frames ,	1<2	implicit	evaluation-comment	comment
First , surveys are subject to variable response rates and the misinterpretation of questions or sample frames ,	which can inject bias into fine - grained analyses	1<2	implicit	elaboration-attribute	elaboration
First , surveys are subject to variable response rates and the misinterpretation of questions or sample frames ,	[ 21 , 22 ] .	1<2	implicit	explanation-evidence	explanation
First , surveys are subject to variable response rates and the misinterpretation of questions or sample frames ,	Second , aggregate information provides only a high - level view of a field ,	1<2	implicit	joint-list	conjunction
Second , aggregate information provides only a high - level view of a field ,	which can make it difficult to investigate causality	1<2	implicit	elaboration-additional	elaboration
Second , aggregate information provides only a high - level view of a field ,	[ 23 ] .	1<2	implicit	explanation-evidence	explanation
Second , aggregate information provides only a high - level view of a field ,	For example , differences in recruitment and retention strategies across departments will be washed out	1<2	explicit	explanation-evidence	explanation
For example , differences in recruitment and retention strategies across departments will be washed out	by averaging ,	1<2	explicit	mode-means	mode
For example , differences in recruitment and retention strategies across departments will be washed out	thereby masking any insights into the efficacy of individual strategies and policies .	1<2	explicit	causal-result	causal
Here , we present a novel system ,	based on a topical web crawler ,	1<2	implicit	elaboration-attribute	elaboration
Here , we present a novel system ,	that can quickly and automatically assemble a full census of an academic field	1<2	implicit	elaboration-attribute	elaboration
that can quickly and automatically assemble a full census of an academic field	using digital data available on the public World Wide Web .	1<2	implicit	mode-means	mode
Here , we present a novel system ,	This system is efficient and accurate ,	1<2	implicit	evaluation-comment	comment
This system is efficient and accurate ,	and it can be adapted to any academic discipline	1<2	explicit	joint-list	conjunction
and it can be adapted to any academic discipline	and used for continuous collection .	1<2	explicit	joint-list	conjunction
Here , we present a novel system ,	The system is capable of collecting census data for an entire academic field in just a few hours	1<2	implicit	elaboration-additional	elaboration
The system is capable of collecting census data for an entire academic field in just a few hours	using off - the - shelf computing hardware ,	1<2	implicit	mode-means	mode
The system is capable of collecting census data for an entire academic field in just a few hours	a vast improvement over the roughly 1600 hours	1<2	implicit	evaluation-comment	comment
a vast improvement over the roughly 1600 hours	required	1<2	implicit	elaboration-attribute	elaboration
required	to do this task by hand	1<2	implicit	purpose-goal	purpose
The system is capable of collecting census data for an entire academic field in just a few hours	[ 19 ] .	1<2	implicit	explanation-evidence	explanation
By assembling an accurate census of an entire field from online information alone ,	this system will facilitate new research on the composition of academic fields	1>2	explicit	mode-means	mode
The system is capable of collecting census data for an entire academic field in just a few hours	this system will facilitate new research on the composition of academic fields	1<2	implicit	elaboration-additional	elaboration
this system will facilitate new research on the composition of academic fields	by providing access to complete faculty listings ,	1<2	explicit	mode-means	mode
this system will facilitate new research on the composition of academic fields	without having to rely on surveys or professional societies .	1<2	explicit	adversative-antithesis	contrast
The system is capable of collecting census data for an entire academic field in just a few hours	This system can also be used longitudinally	1<2	explicit	joint-list	conjunction
This system can also be used longitudinally	to study how the workforce ’s composition changes over time ,	1<2	implicit	purpose-goal	purpose
This system can also be used longitudinally	which is particularly valuable	1<2	implicit	evaluation-comment	comment
which is particularly valuable	for evaluating the effectiveness of policies	1<2	explicit	purpose-goal	purpose
for evaluating the effectiveness of policies	meant to broaden participation or improve retention of faculty .	1<2	implicit	elaboration-attribute	elaboration
The system is capable of collecting census data for an entire academic field in just a few hours	Finally ,	1<2	explicit	joint-list	conjunction
applied to many academic fields in parallel ,	the system can elucidate scientists ’ movement between different disciplines	1>2	implicit	context-circumstance	temporal
Finally ,	the system can elucidate scientists ’ movement between different disciplines	1<2	implicit	adversative-contrast	contrast
the system can elucidate scientists ’ movement between different disciplines	and relate those labor flows to scientific advances .	1<2	explicit	joint-list	conjunction
Here , we present a novel system ,	In short , many important research questions will benefit from the availability of accurate and frequently - recollected census data .	1<2	implicit	evaluation-comment	comment
Our study is organized as follows .	We begin	1>2	implicit	organization-preparation	organization
Here , we present a novel system ,	We begin	1<2	implicit	elaboration-additional	elaboration
We begin	by detailing the design and implementation of our web crawler framework .	1<2	explicit	mode-means	mode
We begin	Next , we present the results of our work in two sections .	1<2	explicit	joint-sequence	temporal
Next , we present the results of our work in two sections .	The first demonstrates the validity and utility of the crawler	1<2	implicit	elaboration-additional	elaboration
The first demonstrates the validity and utility of the crawler	by collecting census data for the field of computer science	1<2	explicit	mode-means	mode
by collecting census data for the field of computer science	and comparing it to a hand - curated census ,	1<2	explicit	joint-sequence	temporal
and comparing it to a hand - curated census ,	collected in 2011	1<2	implicit	elaboration-attribute	elaboration
collected in 2011	[ 19 ] .	1<2	implicit	explanation-evidence	explanation
The first demonstrates the validity and utility of the crawler	The second provides an example of the type of research	1<2	implicit	joint-sequence	temporal
The second provides an example of the type of research	enabled by our system	1<2	implicit	elaboration-attribute	elaboration
The second provides an example of the type of research	and uses the 2011 and 2017 censuses	1<2	explicit	elaboration-additional	elaboration
and uses the 2011 and 2017 censuses	to investigate the “ leaky pipeline ” problem in faculty retention .	1<2	implicit	purpose-goal	purpose
2. New Institutional Economics :	The expropriation of YPF is a case	1>2	implicit	organization-heading	organization
2. New Institutional Economics :	Theoretical Foundations and Application to the Argentine Case	1<2	implicit	elaboration-additional	elaboration
2.1. New Institutional Economics , Property Rights , and Credibility of the State ’s Commitment	The expropriation of YPF is a case	1>2	implicit	organization-heading	organization
Throughout the second half of the 20th century , we have witnessed the return of institutions to economic analysis .	and	1>2	implicit	context-background	frame
Throughout the second half of the 20th century , we have witnessed the return of institutions to economic analysis .	The awarding of the Nobel Prize in Economics to its main representatives <*> has contributed to its greater recognition .	1<2	implicit	elaboration-additional	elaboration
The awarding of the Nobel Prize in Economics to its main representatives <*> has contributed to its greater recognition .	( Douglass North , Ronald Coase , Oliver Williamson , and Elinor Ostrom )	1<2	implicit	elaboration-additional	elaboration
Throughout the second half of the 20th century , we have witnessed the return of institutions to economic analysis .	The two main notions of this economic approach are the concepts of transaction costs and institutions ,	1<2	implicit	elaboration-additional	elaboration
The two main notions of this economic approach are the concepts of transaction costs and institutions ,	analyzed by Coase and North , respectively .	1<2	implicit	elaboration-attribute	elaboration
Coase <*> argues	and	1>2	implicit	attribution-positive	attribution
Coase <*> argues	[ 13 , 14 ]	1<2	implicit	explanation-evidence	explanation
that economic transactions involve costs ,	and	1>2	implicit	context-background	frame
and	Thus , institutions also determine the level of uncertainty	1>2	implicit	context-background	frame
where these costs outweigh the gains ,	the exchange will not take place .	1>2	explicit	context-circumstance	temporal
and	the exchange will not take place .	1<2	implicit	adversative-contrast	contrast
and	For its part , North defined the institutions as the “ rules of the game ” :	1<2	implicit	joint-other	conjunction
For its part , North defined the institutions as the “ rules of the game ” :	they determine the structure of the economy ,	1<2	implicit	elaboration-additional	elaboration
they determine the structure of the economy ,	establish incentives for economic behavior ,	1<2	implicit	joint-list	conjunction
they determine the structure of the economy ,	and affect social interaction	1<2	explicit	joint-list	conjunction
For its part , North defined the institutions as the “ rules of the game ” :	[ 12 ] .	1<2	implicit	explanation-evidence	explanation
Thus , institutions also determine the level of uncertainty	A viable economy requires an institutional structure	1>2	implicit	context-background	frame
they determine the structure of the economy ,	Thus , institutions also determine the level of uncertainty	1<2	explicit	joint-list	conjunction
Thus , institutions also determine the level of uncertainty	to which individuals are subject ,	1<2	implicit	elaboration-attribute	elaboration
Thus , institutions also determine the level of uncertainty	stimulating or discouraging transactions .	1<2	implicit	causal-result	causal
A viable economy requires an institutional structure	Achieving these objectives requires the creation of inclusive institutions ,	1>2	implicit	topic-solutionhood	query
A viable economy requires an institutional structure	that reduces existing uncertainty	1<2	implicit	elaboration-attribute	elaboration
that reduces existing uncertainty	and guarantees property rights .	1<2	explicit	joint-list	conjunction
A viable economy requires an institutional structure	In other words , it is critical <*> that their property rights will not be taken away by other public or private actors	1<2	implicit	evaluation-comment	comment
In other words , it is critical <*> that their property rights will not be taken away by other public or private actors	that economic agents believe	1<2	implicit	attribution-positive	attribution
In other words , it is critical <*> that their property rights will not be taken away by other public or private actors	[ 15 ] .	1<2	implicit	explanation-evidence	explanation
Achieving these objectives requires the creation of inclusive institutions ,	It follows that the role of the state is essential .	1>2	implicit	explanation-justify	explanation
Achieving these objectives requires the creation of inclusive institutions ,	which guarantee the right to private property ,	1<2	implicit	elaboration-attribute	elaboration
which guarantee the right to private property ,	incorporate an impartial legal system ,	1<2	implicit	joint-list	conjunction
which guarantee the right to private property ,	and promote a society	1<2	explicit	joint-list	conjunction
and promote a society	based on equality of conditions	1<2	implicit	elaboration-attribute	elaboration
Achieving these objectives requires the creation of inclusive institutions ,	[ 16 ] .	1<2	implicit	explanation-evidence	explanation
Achieving these objectives requires the creation of inclusive institutions ,	Of course , the state takes a lead role	1<2	implicit	elaboration-additional	elaboration
Of course , the state takes a lead role	in promoting this type of institution .	1<2	implicit	elaboration-attribute	elaboration
Of course , the state takes a lead role	The state must protect property rights ,	1<2	implicit	elaboration-additional	elaboration
The state must protect property rights ,	provide public services ,	1<2	implicit	joint-list	conjunction
The state must protect property rights ,	and ensure a sound judiciary .	1<2	explicit	joint-list	conjunction
The state must protect property rights ,	It is responsible also for imposing order and promoting a climate of cooperation among agents ,	1<2	explicit	joint-list	conjunction
It is responsible also for imposing order and promoting a climate of cooperation among agents ,	penalizing all violators of contracts	1<2	implicit	mode-means	mode
Of course , the state takes a lead role	[ 17 ] .	1<2	implicit	explanation-evidence	explanation
The path to a prosperous society is not an easy one .	It is society that establishes , through political processes , the type of economic institutions	1>2	implicit	organization-preparation	organization
It is society that establishes , through political processes , the type of economic institutions	On the one hand , a society <*> will develop pluralist and centralized institutions .	1>2	implicit	context-background	frame
It is society that establishes , through political processes , the type of economic institutions	that are adopted .	1<2	implicit	elaboration-attribute	elaboration
If there are disagreements about the policies	then the group <*> will make the final decision .	1>2	explicit	contingency-condition	condition
If there are disagreements about the policies	to be implemented ,	1<2	implicit	elaboration-attribute	elaboration
It is society that establishes , through political processes , the type of economic institutions	then the group <*> will make the final decision .	1<2	implicit	elaboration-additional	elaboration
then the group <*> will make the final decision .	that wins the political game	1<2	implicit	elaboration-attribute	elaboration
Achieving these objectives requires the creation of inclusive institutions ,	On the one hand , a society <*> will develop pluralist and centralized institutions .	1<2	implicit	elaboration-additional	elaboration
On the one hand , a society <*> will develop pluralist and centralized institutions .	that adopts policies	1<2	implicit	elaboration-attribute	elaboration
that adopts policies	promoting inclusive political institutions	1<2	implicit	elaboration-attribute	elaboration
On the one hand , a society <*> will develop pluralist and centralized institutions .	Inclusive institutions guarantee the right to private property , to an impartial legal system	1<2	implicit	elaboration-additional	elaboration
Inclusive institutions guarantee the right to private property , to an impartial legal system	and promote a society	1<2	explicit	joint-list	conjunction
and promote a society	based on equal conditions .	1<2	implicit	elaboration-attribute	elaboration
Inclusive institutions guarantee the right to private property , to an impartial legal system	These institutions benefit not only the elites , but society as a whole .	1<2	implicit	causal-result	causal
These institutions benefit not only the elites , but society as a whole .	The consequences of implementing inclusive institutions are reflected in increased activity , productivity , and economic growth .	1<2	implicit	joint-list	conjunction
On the one hand , a society <*> will develop pluralist and centralized institutions .	On the other hand , <*> then power will be consolidated within a small number of groups .	1<2	explicit	adversative-contrast	contrast
On the other hand , <*> then power will be consolidated within a small number of groups .	if extractive political institutions are implemented ,	1<2	explicit	contingency-condition	condition
