unit1_txt	unit2_txt	dir	rel_type	orig_label	label
In philosophical terms , this is closer to a kind of ' antirealism ' than ' relativism '	-- if people still care for such niceties .	1<2	unknown	condition	condition
What ' adopting the standpoint of the agents ' seems to involve is a realization that the present can be made into a variety of futures , depending on what the agents do .	As LYNCH suggested , ' constructivism ' is still a better name ,	1<2	unknown	elaboration	elaboration
As LYNCH suggested , ' constructivism ' is still a better name ,	at least it 's one that resonates better with the philosophical tradition .	1<2	unknown	elaboration	elaboration
at least it 's one that resonates better with the philosophical tradition .	( Note Bloor 's entry into this whole field via Wittgenstein 's ' constructivist ' philosophy of mathematics . )	1<2	unknown	elaboration	elaboration
Now MARKS also asks whether this ' methodological relativism ' can / should be pushed further -- especially in a political direction .	relativism is much more impressive in what it opposes than in what it supports .	1>2	unknown	solutionhood	query
Like any philosophical position when it gets politicized ,	relativism is much more impressive in what it opposes than in what it supports .	1>2	unknown	circumstance	temporal
relativism is much more impressive in what it opposes than in what it supports .	However , I 'm not too worried about the scenario that TURTON depicts about relativism leading to a Hobbesian state of nature in science .	1>2	unknown	concession	concession
Although a certain ' politics of relativism ' ( associated more with anthropology than sociology ) has been important in breaking the stranglehold of Western forms of ' universalism ' ,	left to its own devices relativist arguments have been used to uphold all sorts of provinicialisms and even racisms	1>2	unknown	concession	concession
relativism is much more impressive in what it opposes than in what it supports .	left to its own devices relativist arguments have been used to uphold all sorts of provinicialisms and even racisms	1<2	unknown	evidence	explanation
left to its own devices relativist arguments have been used to uphold all sorts of provinicialisms and even racisms	( Have a look sometime at the legal justifications given for Apartheid in South Africa :	1<2	unknown	evidence	explanation
( Have a look sometime at the legal justifications given for Apartheid in South Africa :	They are full of appeals to ' cultural autonomy ' that underwrite the creation of ' homelands ' , as well as to the historical uniqueness of South Africa which prevents it from being held accountable to ' Euorpean ' standards of justice ) .	1<2	unknown	elaboration	elaboration
left to its own devices relativist arguments have been used to uphold all sorts of provinicialisms and even racisms	Here LYNCH is right on the money in being suspicious about positive appeals to relativism ,	1<2	unknown	summary	organization
Here LYNCH is right on the money in being suspicious about positive appeals to relativism ,	especially when they come from people in power .	1<2	unknown	circumstance	temporal
I agree with MARKS that what he calls ' methodological relativism ' is a perfectly sensible research stance :	However , I 'm not too worried about the scenario that TURTON depicts about relativism leading to a Hobbesian state of nature in science .	1<2	unknown	list	conjunction
After all , if everybody 's motto became ' do only that which you think will serve your interest ' ,	then it would n't be long before you 'd be inventing Leviathans to monitor and regulate the conflicting parties .	1>2	unknown	condition	condition
However , I 'm not too worried about the scenario that TURTON depicts about relativism leading to a Hobbesian state of nature in science .	then it would n't be long before you 'd be inventing Leviathans to monitor and regulate the conflicting parties .	1<2	unknown	evidence	explanation
then it would n't be long before you 'd be inventing Leviathans to monitor and regulate the conflicting parties .	I take it that , in this respect , GUSTON has answered TURTON .	1<2	unknown	elaboration	elaboration
I take it that , in this respect , GUSTON has answered TURTON .	The only reason why there is n't more regulation of science is that people do n't believe that TURTON 's scenario is true .	1<2	unknown	elaboration	elaboration
But if relativism in his sense should prevail ,	you can be sure that the politicians and policymakers will soon be there to ' bring order ' .	1>2	unknown	condition	condition
The only reason why there is n't more regulation of science is that people do n't believe that TURTON 's scenario is true .	you can be sure that the politicians and policymakers will soon be there to ' bring order ' .	1<2	unknown	elaboration	elaboration
But having said all that , I have n't answered MARKS 's original question about the ' Enlightenment Project ' .	if I did n't still believe in the Project ,	1>2	unknown	solutionhood	query
I would n't be doing what I 'm doing	if I did n't still believe in the Project ,	1>2	unknown	antithesis	contrast
However , I 'm not too worried about the scenario that TURTON depicts about relativism leading to a Hobbesian state of nature in science .	if I did n't still believe in the Project ,	1<2	unknown	list	conjunction
if I did n't still believe in the Project ,	but it 's an uphill struggle .	1<2	unknown	concession	concession
If I may regress to unfashionable terminology ,	I can give a brief explanation .	1>2	unknown	condition	condition
I can give a brief explanation .	Postmodernists ( and I include science studies here ) describe the world much more accurately than the Habermasians , Popperians , and other Children of the Enlightenment .	1>2	unknown	preparation	organization
but it 's an uphill struggle .	Postmodernists ( and I include science studies here ) describe the world much more accurately than the Habermasians , Popperians , and other Children of the Enlightenment .	1<2	unknown	evidence	explanation
This is the central irony of our times ,	The people who promote Truth and Reason the most also have the most fictional views of how the world works ,	1>2	unknown	background	frame
This is the central irony of our times ,	it seems to me :	1<2	unknown	evaluation	comment
Postmodernists ( and I include science studies here ) describe the world much more accurately than the Habermasians , Popperians , and other Children of the Enlightenment .	The people who promote Truth and Reason the most also have the most fictional views of how the world works ,	1<2	unknown	elaboration	elaboration
The people who promote Truth and Reason the most also have the most fictional views of how the world works ,	while the people who are in the best position to correct those views do n't believe that ' correction ' is an intelligible notion !	1<2	unknown	contrast	contrast
I agree with David Hakken that there is a need to move beyond " shit shoveling . "	My point in using the retort , " So grab a shovel and join us ! " , was to suggest that the STS vision of " the way forward " might well be enhanced	1>2	unknown	concession	concession
My point in using the retort , " So grab a shovel and join us ! " , was to suggest that the STS vision of " the way forward " might well be enhanced	if more STSers would take a turn or two at the shit pile .	1<2	unknown	condition	condition
My point in using the retort , " So grab a shovel and join us ! " , was to suggest that the STS vision of " the way forward " might well be enhanced	This view is consistent , I think , with Hakken 's implied criticism of STSers who hesitate to " get their hands dirty . "	1<2	unknown	elaboration	elaboration
On Fri , 28 Oct 1994 , Dr. Joseph R. Herkert drew attention to my comment on constructing a dialogue with technoscience practitioners who share important elements of the STS perspective and are active in their own fields .	I would like to use Heckert 's intervention as an occasion to comment on the discourse which took place in the sci-tech - studies cyberspace	1>2	unknown	background	frame
On Fri , 28 Oct 1994 , Dr. Joseph R. Herkert drew attention to my comment on constructing a dialogue with technoscience practitioners who share important elements of the STS perspective and are active in their own fields .	I wondered about how can we help these individuals move beyond being what Hilary Rose has called " shit shovelers " ( exposing " bad practice " in their fields ) toward a more general discussion of the way forward ?	1<2	unknown	elaboration	elaboration
I wondered about how can we help these individuals move beyond being what Hilary Rose has called " shit shovelers " ( exposing " bad practice " in their fields ) toward a more general discussion of the way forward ?	Heckert responded by suggesting participation in section on the social implications of technology ( SSIT ) of the IEEE as one place where such a dialogue can take place .	1<2	unknown	sequence	temporal
He then went for the neat rhetorical phrase :	> > So grab a shovel and join us !	1>2	unknown	background	frame
Heckert responded by suggesting participation in section on the social implications of technology ( SSIT ) of the IEEE as one place where such a dialogue can take place .	> > So grab a shovel and join us !	1<2	unknown	sequence	temporal
I would like to use Heckert 's intervention as an occasion to comment on the discourse which took place in the sci-tech - studies cyberspace	Much of this discussion has been over what are the appropriate modalities for discussion between STSers and technoscientists ,	1>2	unknown	purpose	purpose
I would like to use Heckert 's intervention as an occasion to comment on the discourse which took place in the sci-tech - studies cyberspace	while I was off talking with technoscientists at the Participatory Design Conference .	1<2	unknown	circumstance	temporal
Much of this discussion has been over what are the appropriate modalities for discussion between STSers and technoscientists ,	In my case , I was arguing for a discourse with technoscientists to address a specific current conjunction , a backlash against STS by some natural scientists .	1>2	unknown	solutionhood	query
Much of this discussion has been over what are the appropriate modalities for discussion between STSers and technoscientists ,	and in outlining their various positions on this issues , participants have also been more indirectly than directly identifying their position on Bailer 's query --	1<2	unknown	elaboration	elaboration
and in outlining their various positions on this issues , participants have also been more indirectly than directly identifying their position on Bailer 's query --	why do we do this ?	1<2	unknown	elaboration	elaboration
and in outlining their various positions on this issues , participants have also been more indirectly than directly identifying their position on Bailer 's query --	What 's it for ?	1<2	unknown	elaboration	elaboration
In my case , I was arguing for a discourse with technoscientists to address a specific current conjunction , a backlash against STS by some natural scientists .	My idea was that the STS enterprise , whatever the motivations or preferred modalities of its participants , was vulnerable to this backlash as long as we failed to project commitment to discussion of how we would reconstruct scientific practice in light of our critique of its current forms .	1<2	unknown	elaboration	elaboration
My idea was that the STS enterprise , whatever the motivations or preferred modalities of its participants , was vulnerable to this backlash as long as we failed to project commitment to discussion of how we would reconstruct scientific practice in light of our critique of its current forms .	" Beyond shit shoveling " was my way of labeling an aspect of this discussion which I feel is necessary , one in which STSers find ways to engage technoscientists in a discussion over both specific technoscience practices but also the general nature of the technoscience enterprise .	1<2	unknown	elaboration	elaboration
While the comments on the net have been fascinating ,	I feel many of them have been abstracted from this specific conjunction ,	1>2	unknown	circumstance	temporal
I feel many of them have been abstracted from this specific conjunction ,	so I thought I 'd try one more time to state the issue as I see it :	1>2	unknown	motivation	explanation
In my case , I was arguing for a discourse with technoscientists to address a specific current conjunction , a backlash against STS by some natural scientists .	so I thought I 'd try one more time to state the issue as I see it :	1<2	unknown	elaboration	elaboration
so I thought I 'd try one more time to state the issue as I see it :	How do we respond to the backlash ,	1<2	unknown	elaboration	elaboration
How do we respond to the backlash ,	and should a substantial part of this response be a discourse with interested technoscientists over what a technoscience practice informed by STS critique would look like ?	1<2	unknown	elaboration	elaboration
How do we respond to the backlash ,	Further , are there ways that we should be moving corporately ( as groups ) to construct this specific discourse ?	1<2	unknown	elaboration	elaboration
Further , are there ways that we should be moving corporately ( as groups ) to construct this specific discourse ?	I am aware that this more activist posture may be uncomfortable both for some of my anthropological colleagues and for some technoscientists .	1<2	unknown	elaboration	elaboration
I am aware that this more activist posture may be uncomfortable both for some of my anthropological colleagues and for some technoscientists .	In the Participatory Design community , for example , there are technologists who are suspicious of the attempts of anthropologists to move beyond trying to understand information system development to becoming involved in the system development process itself ,	1<2	unknown	elaboration	elaboration
In the Participatory Design community , for example , there are technologists who are suspicious of the attempts of anthropologists to move beyond trying to understand information system development to becoming involved in the system development process itself ,	just as there are anthropologists who would feel compromised were they to become too heavily involved in practice .	1<2	unknown	elaboration	elaboration
I am aware that this more activist posture may be uncomfortable both for some of my anthropological colleagues and for some technoscientists .	At the same time , I have talked to systems developers who are angry about the anthropologists ' hesitation to " get their hands dirty " and take some responsibility for the character of the systems which get constructed .	1<2	unknown	contrast	contrast
In my case , I was arguing for a discourse with technoscientists to address a specific current conjunction , a backlash against STS by some natural scientists .	My argument is that the current conjunction should shift the ground of this discussion toward more intense engagement , both in practice and in theory .	1<2	unknown	summary	organization
My argument is that the current conjunction should shift the ground of this discussion toward more intense engagement , both in practice and in theory .	I really do mean something more than shit shoveling .	1<2	unknown	elaboration	elaboration
Authoritarians have a long history of throwing together groups of people who ca n't stand each other and then oppressing the whole fractious bunch , while appealing to the public [ especially the privileged ] about how the diverse groups all oppose public order .	This scenario is so frequently rehersed that it can be summarized tritely ,	1>2	unknown	background	frame
Authoritarians have a long history of throwing together groups of people who ca n't stand each other and then oppressing the whole fractious bunch , while appealing to the public [ especially the privileged ] about how the diverse groups all oppose public order .	The oppressors then gain considerable resources through the support of all those who , of course , prefer public order to disorder .	1<2	unknown	sequence	temporal
This scenario is so frequently rehersed that it can be summarized tritely ,	Most of us have been politely silent about this growing anti-sts backlash ,	1>2	unknown	background	frame
This scenario is so frequently rehersed that it can be summarized tritely ,	as I have just done .	1<2	unknown	evidence	explanation
I have been intrigued how our own little fractious bunch [ policy makers , policy critics , strong programmers , constructivists , methodological relativists , feminist epistemologists , rhetoricians , scientometricians , all - around judicious types , ET AL ] was going to deal with this current , increasingly disturbing anti-sts ' backlash ' in the US and UK .	Most of us have been politely silent about this growing anti-sts backlash ,	1>2	unknown	solutionhood	query
I have been intrigued how our own little fractious bunch [ policy makers , policy critics , strong programmers , constructivists , methodological relativists , feminist epistemologists , rhetoricians , scientometricians , all - around judicious types , ET AL ] was going to deal with this current , increasingly disturbing anti-sts ' backlash ' in the US and UK .	[ I have n't heard of it going on elsewhere . ]	1<2	unknown	background	frame
Most of us have been politely silent about this growing anti-sts backlash ,	I agree strongly with David Hakken that we need to be thinking together about diverse [ I repeat : diverse ] strategies to respond effectively to this strengthening backlash .	1>2	unknown	solutionhood	query
Most of us have been politely silent about this growing anti-sts backlash ,	in part because of the company we would need to keep [ see list above ] in order to act effectively .	1<2	unknown	nonvolitional-cause	causal
I just heard this morning from a colleague - not at all in science studies of any kind - that she had heard about a recent US national meeting of deans of sci/ eng where one speaker ' instructed ' the other deans in the pernicious work being done on sci/eng , perhaps on their own campuses .	The speaker apparently blamed all of this on - guess what - literary theory .	1>2	unknown	background	frame
The speaker apparently blamed all of this on - guess what - literary theory .	then you are an example of the effectiveness of the backlash stragegy of oppressing fractious groups , in my opinion .	1>2	unknown	background	frame
In case any of you are suddenly feeling relieved	then you are an example of the effectiveness of the backlash stragegy of oppressing fractious groups , in my opinion .	1>2	unknown	condition	condition
In case any of you are suddenly feeling relieved	- oh , I do n't do litcrit -	1<2	unknown	elaboration	elaboration
Most of us have been politely silent about this growing anti-sts backlash ,	then you are an example of the effectiveness of the backlash stragegy of oppressing fractious groups , in my opinion .	1<2	unknown	evidence	explanation
I agree strongly with David Hakken that we need to be thinking together about diverse [ I repeat : diverse ] strategies to respond effectively to this strengthening backlash .	David suggests " intense engagement " with the scientists and engineers whose practices we are studying .	1<2	unknown	means	mode
David suggests " intense engagement " with the scientists and engineers whose practices we are studying .	For those of us who are already so engaged , I agree , certainly , that we can increase our discussions with them about our work and the anti-sts crusades .	1<2	unknown	elaboration	elaboration
What else ?	this will be a tedious task .	1>2	unknown	solutionhood	query
Looking at the source materials I assume that most of us would agree that reacting to the backlash must involve exposing the - well , I 'll be polite - amazingly inventive readings of diverse people 's work , coupled with amazingly inventive ways of putting together ideas that most readers would regard as immiscible .	While certainly not difficult ,	1>2	unknown	background	frame
While certainly not difficult ,	this will be a tedious task .	1>2	unknown	concession	concession
I agree strongly with David Hakken that we need to be thinking together about diverse [ I repeat : diverse ] strategies to respond effectively to this strengthening backlash .	this will be a tedious task .	1<2	unknown	list	conjunction
The next problem :	how to give the critique the exposure of the backlash .	1>2	unknown	preparation	organization
how to give the critique the exposure of the backlash .	I suggest that this is already nearly insurmountable .	1>2	unknown	solutionhood	query
this will be a tedious task .	I suggest that this is already nearly insurmountable .	1<2	unknown	list	conjunction
What else ?	Indeed .	1>2	unknown	solutionhood	query
I suggest that this is already nearly insurmountable .	Indeed .	1<2	unknown	list	conjunction
Perhaps I appeared to suggest that relativists in general or McCloskey in particular were not worth reading .	That was not what I meant .	1>2	unknown	antithesis	contrast
That was not what I meant .	My point referred to what I perceived as the relative amount of critical leverage that you can find in two different STS approaches to economics .	1>2	unknown	antithesis	contrast
My point referred to what I perceived as the relative amount of critical leverage that you can find in two different STS approaches to economics .	My only point is that it is possible to discrimminate between different normative sensibilities within what gets labelled as postmodernism .	1>2	unknown	background	frame
This relates to the enlightenment stuff .	My only point is that it is possible to discrimminate between different normative sensibilities within what gets labelled as postmodernism .	1>2	unknown	preparation	organization
Christopher Norris distinguishes between people still committed to the enlightenment like Derrida and Habermas ( he considers them on the same side ! ) and those like Fish or Rorty who serve to limit rather than expand criticism .	This is too neat and voluntarist , no doubt .	1>2	unknown	antithesis	contrast
This is too neat and voluntarist , no doubt .	My only point is that it is possible to discrimminate between different normative sensibilities within what gets labelled as postmodernism .	1>2	unknown	concession	concession
This is too neat and voluntarist , no doubt .	And I 'm not sure what hangs on the concept of " enlightenment . "	1<2	unknown	elaboration	elaboration
Perhaps some shovelers should look at the latest superhyped recycling of the " blacks are mentally inferior " argument ( Time , Newseek , NYT , some tv shows all reported on this story , the authors ' names escape me ) .	Would self - proclaimed relativists avoid addressing the shoddiness of the argument ?	1>2	unknown	background	frame
Would self - proclaimed relativists avoid addressing the shoddiness of the argument ?	It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	1>2	unknown	solutionhood	query
Would self - proclaimed relativists avoid addressing the shoddiness of the argument ?	On the other hand , would a too - narrow focus on the details of statistical inference and the like miss some crucial opportunities as well ?	1<2	unknown	elaboration	elaboration
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	e.g. historical context -- racist theories in science are nothing new nor can they _always_ just be fitted in the " poor methodology " category .	1<2	unknown	elaboration	elaboration
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	What is the relationship between one of the authors ' position at the American Enterprise Institute , their attacks on welfare and the shaping of research questions and strategies ?	1<2	unknown	elaboration	elaboration
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	How effective are the usual types of critiques ( e.g. Lewontin and company ) at actually affecting directions of research and the like	1<2	unknown	elaboration	elaboration
How effective are the usual types of critiques ( e.g. Lewontin and company ) at actually affecting directions of research and the like	and how does this relate to the division of labor in science and the problem - solving interest in certain types of questions	1<2	unknown	elaboration	elaboration
and how does this relate to the division of labor in science and the problem - solving interest in certain types of questions	( e.g. internal development of IQ testing since it presents new puzzles , despite critique of the assumptions from a variety of perspectives , analagous to Pickering 's _ Constructing Quarks_ perhaps ) .	1<2	unknown	elaboration	elaboration
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	How does this relate to the differential positions of women and minorities in science ?	1<2	unknown	elaboration	elaboration
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	to prevailing political moods ?	1<2	unknown	elaboration	elaboration
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	Why is the press so enthusiastic in presenting this	1<2	unknown	elaboration	elaboration
Why is the press so enthusiastic in presenting this	and what has been the response by scientist - critics and professional organizations ?	1<2	unknown	sequence	temporal
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	How does IQ testing and related technologies _already_ parcel people out on the basis of race and class ?	1<2	unknown	elaboration	elaboration
Constructivism clearly has much to offer here	but only if it can shovel the shit while simultaneously working on a more long - term sanitation system .	1>2	unknown	concession	concession
It seems to me the value of constructivism is it allows multiple sites of intervention in the debate ,	but only if it can shovel the shit while simultaneously working on a more long - term sanitation system .	1<2	unknown	summary	organization
Traweek 's observation concerning the silence around " the backlash " seems especially important given who has continually been singled out in the criticism to STS that I 've seen :	feminist scholars of science .	1>2	unknown	nonvolitional-cause	causal
feminist scholars of science .	My concerns about this singling out the feminsts by both conservative and liberal critics is multiple .	1>2	unknown	background	frame
feminist scholars of science .	As evidence consider the review of G&L [ Paul Gross and Norman Levitt ] in the most recent The Sciences .	1<2	unknown	evidence	explanation
In that piece G&L are roundly criticized ,	but the author ironically ends up supporting Gross 's picture of feminist science scholars , esp. Harding .	1>2	unknown	concession	concession
As evidence consider the review of G&L [ Paul Gross and Norman Levitt ] in the most recent The Sciences .	but the author ironically ends up supporting Gross 's picture of feminist science scholars , esp. Harding .	1<2	unknown	elaboration	elaboration
but the author ironically ends up supporting Gross 's picture of feminist science scholars , esp. Harding .	In the Michael Ruse 's words " The hatred [ of science by feminists ] is real and deep . " ( p. 40 )	1<2	unknown	evidence	explanation
My concerns about this singling out the feminsts by both conservative and liberal critics is multiple .	First , it repeats too much bad history , including the continued marginalization of what , imho , is some of the finest work on science and its relation to culture , from something vaguely defined as the mainstream of STS .	1<2	unknown	elaboration	elaboration
As has already been noted by several people in this list ,	feminist scholarship has not impacted the " mainstream " of STS ...	1>2	unknown	circumstance	temporal
First , it repeats too much bad history , including the continued marginalization of what , imho , is some of the finest work on science and its relation to culture , from something vaguely defined as the mainstream of STS .	feminist scholarship has not impacted the " mainstream " of STS ...	1<2	unknown	list	conjunction
( Actually I think it has ,	but I 've seen scant evidence of it on this list --	1>2	unknown	concession	concession
but I 've seen scant evidence of it on this list --	my own work and those of others in the anthropological and cultural studies arm of STS are thoroughly indebted to feminism :	1>2	unknown	antithesis	contrast
feminist scholarship has not impacted the " mainstream " of STS ...	my own work and those of others in the anthropological and cultural studies arm of STS are thoroughly indebted to feminism :	1<2	unknown	background	frame
my own work and those of others in the anthropological and cultural studies arm of STS are thoroughly indebted to feminism :	without Haraway , Traweek , Harding , Penley , Martin et alia I certainly would n't be doing what I 'm doing .	1<2	unknown	evidence	explanation
without Haraway , Traweek , Harding , Penley , Martin et alia I certainly would n't be doing what I 'm doing .	They are as , if not more , important to my research on science and tourism than the likes of Latour . )	1<2	unknown	evaluation	comment
feminist scholarship has not impacted the " mainstream " of STS ...	Given this seeming marginal status , we ( they ) are an easy target .	1<2	unknown	interpretation	comment
feminist scholarship has not impacted the " mainstream " of STS ...	Finally , it 's worth pointing out that the critique is founded on a perverse reading of the feminist critique of science , one that begins by assuming that critique is identical with blanket condemnation .	1<2	unknown	list	conjunction
Finally , it 's worth pointing out that the critique is founded on a perverse reading of the feminist critique of science , one that begins by assuming that critique is identical with blanket condemnation .	The fact that Haraway 's work is an attempt to interest and signal the importance of scientific work -- any careful reading of her would find that she values science -- is completely ignored .	1<2	unknown	evidence	explanation
Finally , it 's worth pointing out that the critique is founded on a perverse reading of the feminist critique of science , one that begins by assuming that critique is identical with blanket condemnation .	Harding 's comments about the necessity of science are likewise ignored :	1<2	unknown	evidence	explanation
Harding 's comments about the necessity of science are likewise ignored :	See pp. 101 - 2 of Whose Science , Whose Knowledge .	1<2	unknown	evidence	explanation
Yes the feminist critiques of science are harsh ,	but they are not out to " dismantle " science as " anti - feminist " critics have charged .	1>2	unknown	concession	concession
My concerns about this singling out the feminsts by both conservative and liberal critics is multiple .	but they are not out to " dismantle " science as " anti - feminist " critics have charged .	1<2	unknown	summary	organization
As the criticisms continue to target Harding in particular ,	I 'm reminded of a poem of Marge Piercy 's :	1>2	unknown	volitional-cause	causal
As the criticisms continue to target Harding in particular ,	and I too sense a silence on the part of " the mainstream " STS community ( which are not of a piece I am more than happy to acknowledge )	1<2	unknown	background	frame
I 'm reminded of a poem of Marge Piercy 's :	watch who they beat and who they eat , watch who they relieve themselves on , watch who they own , The rest is decoration . ( Circles on the Water , p. 80 )	1>2	unknown	background	frame
but they are not out to " dismantle " science as " anti - feminist " critics have charged .	watch who they beat and who they eat , watch who they relieve themselves on , watch who they own , The rest is decoration . ( Circles on the Water , p. 80 )	1<2	unknown	background	frame
I 've been lurking on this thread in the net without comment ,	and now seems a good time to make one .	1>2	unknown	circumstance	temporal
and now seems a good time to make one .	Recent mentions of special nastiness toward feminist critics of science ( such as my colleague Sandra Harding ) suggest something fairly obvious to me .	1>2	unknown	preparation	organization
Recent mentions of special nastiness toward feminist critics of science ( such as my colleague Sandra Harding ) suggest something fairly obvious to me .	The acronym STS is being used much too monolithically .	1>2	unknown	background	frame
The acronym STS is being used much too monolithically .	we need much more nuanced uses of the acronym STS .	1>2	unknown	motivation	explanation
The acronym STS is being used much too monolithically .	Already several years ago , Malcolm Ashmore noted a variety of approaches within the Sociology of Scientific Knowledge group	1<2	unknown	evidence	explanation
Already several years ago , Malcolm Ashmore noted a variety of approaches within the Sociology of Scientific Knowledge group	- so much so that it should not be called a " community . "	1<2	unknown	elaboration	elaboration
Already several years ago , Malcolm Ashmore noted a variety of approaches within the Sociology of Scientific Knowledge group	Then along came the Social Construction of Technology .	1<2	unknown	sequence	temporal
Then along came the Social Construction of Technology .	STSers in 4S are still more diverse .	1<2	unknown	sequence	temporal
STSers in 4S are still more diverse .	FULLER has identified " high " and " low church " STS groups .	1<2	unknown	sequence	temporal
FULLER has identified " high " and " low church " STS groups .	And there are various fellow travelers like myself -	1<2	unknown	sequence	temporal
And there are various fellow travelers like myself -	philosophers , historians , anthropologists , etc .	1<2	unknown	elaboration	elaboration
Already several years ago , Malcolm Ashmore noted a variety of approaches within the Sociology of Scientific Knowledge group	Furthermore , many of us - like TRAWEEK in her comment a couple of weeks ago - who try to work positively and constructively with various groups of scientists and engineers .	1<2	unknown	elaboration	elaboration
Furthermore , many of us - like TRAWEEK in her comment a couple of weeks ago - who try to work positively and constructively with various groups of scientists and engineers .	( That does n't , of course , automatically exempt us from criticisms by GROSS types . )	1<2	unknown	background	frame
In my opinion , if the thread is going to continue constructively ,	we need much more nuanced uses of the acronym STS .	1>2	unknown	condition	condition
It seems to me that many readers of ( or at least writers to ) this list are looking at the " backlash " as predictable defensivesess of what scientists see as their territory :	If that is our response ,	1>2	unknown	background	frame
Those STSers are after me and my work ,	so let 's go get 'em !	1>2	unknown	volitional-cause	causal
It seems to me that many readers of ( or at least writers to ) this list are looking at the " backlash " as predictable defensivesess of what scientists see as their territory :	so let 's go get 'em !	1<2	unknown	elaboration	elaboration
If that is our response ,	we may harm STS .	1>2	unknown	condition	condition
we may harm STS .	we may lose a lot , including academic departments , students , money , respect , and influence .	1>2	unknown	nonvolitional-cause	causal
we may harm STS .	Do not underestimate the sincerity , the passion , or the power of others	1<2	unknown	evidence	explanation
Do not underestimate the sincerity , the passion , or the power of others	just because you disagree with them .	1<2	unknown	antithesis	contrast
Do not underestimate the sincerity , the passion , or the power of others	And do not dismiss the whole package	1<2	unknown	list	conjunction
And do not dismiss the whole package	just because you have some special background and technical knowledge and can tell that parts of it are flawed .	1<2	unknown	antithesis	contrast
If we do n't develop some answers that are convincing ( to those who need to be convinced , which is not nesessarily to ourselves )	we may lose a lot , including academic departments , students , money , respect , and influence .	1>2	unknown	condition	condition
we may lose a lot , including academic departments , students , money , respect , and influence .	Which brings me back ( yes , still another time ) to the question ,	1>2	unknown	nonvolitional-cause	causal
Which brings me back ( yes , still another time ) to the question ,	What are we really trying to accomplish ?	1>2	unknown	background	frame
